Progress,Duration (in seconds),Consent,Gender1,Race1,Race1_6_TEXT,Citizen,USborn,Residency_1,Residency_2,ConservativeIdeo,LiberalIdeo,GenPartyAffiliation,GenPartyAffiliation_4_TEXT,threatTime_First Click,threatTime_Last Click,threatTime_Page Submit,threatTime_Click Count,assuagedThreatTime_First Click,assuagedThreatTime_Last Click,assuagedThreatTime_Page Submit,assuagedThreatTime_Click Count,purposeAllCond,groupGrowth,whitePopChange,groupPower,reasonDemoShift,Readability,Informativity,systemThreat,USheaded,certain,statusThreatPercept,changecult,racetied,policy-timing_First Click,policy-timing_Last Click,policy-timing_Page Submit,policy-timing_Click Count,ImmigrantCitizenship,ImmigrationNumber,MilitaryFund,AffirmativeAction,Healthcare,EnglishNationalLang,Prisons,GenPolSpectrum,Age,Education,Income,primeRepeat,Guess,Comments,Condition
Progress,Duration (in seconds),"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.

 

If you agree to participate in this research study, please select the Accept button below.  You will then be taken to the first page of the survey.  If you do not wish to participate in this study, please select the Decline button below, and your session will end.",Which of the following best describes you?,Please check all racial or ethnic groups that you belong to: - Selected Choice,Please check all racial or ethnic groups that you belong to: - Other (please specify) - Text,Are you a United States citizen?,Were you born in the United States?,Current Residency Information: - Do you currently live in the United States?,Current Residency Information: - In which state do you live?,I endorse many aspects of conservative political ideology.,I endorse many aspects of liberal political ideology.,"Generally speaking, do you usually consider yourself a Democrat, a Republican, an Independent, or a member of some other political party? - Selected Choice","Generally speaking, do you usually consider yourself a Democrat, a Republican, an Independent, or a member of some other political party? - Other political party - Text",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the purpose of the press release?,Which racial group is expected to be the largest contributor to the population growth in the US?,What is the White population expected to do in the coming decades?,"In 2042, which group is expected to hold the most societal status/power?",What is one of the main reasons outlined in the press release for the expected demographic shift?,How readable is this press release?,How informative was this press release?,The American way of life is seriously threatened.,"When you think about the direction in which the American society is headed, which of the following statements best reflects your feelings?",How certain are you of American society's future?,"If they increase in status, racial minorities are likely to reduce the influence of White Americans in society.",The culture of America is likely to change in the future.,My opportunities in life are tied to those of my racial group as a whole.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Currently the US requires immigrants to live in the US for at least 5 years before being eligible to,"Do you think that the number of immigrants from foreign countries who are allowed to come to the US to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?","Do you think that the amount of federal funding dedicated to funding the US military and defense departments should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?","Some people say that because of past discrimination, racial minorities should be given preference in hiring and promotion.  Others say that such preference in hiring and promotion of racial minorities is wrong because it discriminates against Whites.  What about your opinion, how do you feel about preferential hiring and promotion of racial minorities?","Some people say that health care should be a right for all people and not a privilege only for those who are insured by their workplace or participate in some other private plan.  Others say that the tax burden in this country is already high and it is unreasonable to expect people who are paying a part of their own private insurance plan to also pay for other people.  How do you feel about universal, guaranteed health care?","Some people say that English should be made the official language of the United States.  Others say that making English the official language would be unnecessary.  What about your opinion, how do you feel about establishing English as the official language of the US?",Some say that the best way to solve the problem of prison overcrowding would be to build more prisons.  Others say that it would be better to deal with the overcrowding problem by rehabilitating people who have committed non-violent crimes and provide them with job training so they can earn an honest living and are less likely to become repeat offenders.  How do you feel about building more prisons?,"In general, do you think of yourself as...",How old are you (in years)?,What is the highest degree or level of education you have completed?,What is your average yearly household income?,Had you seen the article you read earlier in this study before?,What would you guess was the hypothesis of this study?,"If you have any additional comments or feedback, please write them here.",Condition
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""QID385""}","{""ImportId"":""QID387""}","{""ImportId"":""QID388""}","{""ImportId"":""QID388_6_TEXT""}","{""ImportId"":""QID389""}","{""ImportId"":""QID390""}","{""ImportId"":""QID391_1""}","{""ImportId"":""QID391_2""}","{""ImportId"":""QID393""}","{""ImportId"":""QID394""}","{""ImportId"":""QID395""}","{""ImportId"":""QID395_4_TEXT""}","{""ImportId"":""QID412_FIRST_CLICK""}","{""ImportId"":""QID412_LAST_CLICK""}","{""ImportId"":""QID412_PAGE_SUBMIT""}","{""ImportId"":""QID412_CLICK_COUNT""}","{""ImportId"":""QID414_FIRST_CLICK""}","{""ImportId"":""QID414_LAST_CLICK""}","{""ImportId"":""QID414_PAGE_SUBMIT""}","{""ImportId"":""QID414_CLICK_COUNT""}","{""ImportId"":""QID438_TEXT""}","{""ImportId"":""QID439""}","{""ImportId"":""QID441""}","{""ImportId"":""QID511""}","{""ImportId"":""QID443_TEXT""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID396""}","{""ImportId"":""QID397""}","{""ImportId"":""QID398""}","{""ImportId"":""QID399""}","{""ImportId"":""QID521""}","{""ImportId"":""QID522""}","{""ImportId"":""QID524_FIRST_CLICK""}","{""ImportId"":""QID524_LAST_CLICK""}","{""ImportId"":""QID524_PAGE_SUBMIT""}","{""ImportId"":""QID524_CLICK_COUNT""}","{""ImportId"":""QID449""}","{""ImportId"":""QID451""}","{""ImportId"":""QID453""}","{""ImportId"":""QID455""}","{""ImportId"":""QID457""}","{""ImportId"":""QID459""}","{""ImportId"":""QID463""}","{""ImportId"":""QID465""}","{""ImportId"":""QID234_TEXT""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID517""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID257_TEXT""}","{""ImportId"":""Condition""}"
100,576,1,2,3,,1,1,1,30,1,2,1,,5.38,119.011,153.67,4,,,,,To discuss the shifting of a white majority to a non-white majority population in the United States.,4,4,2,More births by hispanic people. Flat rate of births by white populationi,1,1,2,2,2,5,17,17,3.438,100.053,101.539,12,3,3,2,3,1,2,1,2,58,5,10,2,White people are feeling threatened by the increasing minority population.,,Status Threat
100,398,1,1,3,,1,1,1,22,1,1,1,,,,,,14.007,69.933,70.574,12,"To explain at what point minority groups will make up a larger percentage of the US population than people of Caucasian background, and why.",4,3,1,"Higher birth rate among minority groups, for example 9 births to 1 death in hispanics but 1 to 1 in white.",2,3,1,3,3,5,18,14,8.51,70.155,70.658,45,3,4,1,5,1,4,2,1,22,5,4,2,Those with conservative beliefs are more influenced by the racist commentary of the article.,,Assuaged Threat
100,375,1,2,3,,1,1,1,32,1,3,3,,0,0,46.903,0,,,,,To demonstrate the decline of White populations,4,5,2,birth rates for non-white groups,6,6,1,4,3,7,17,14,2.753,83.034,84.134,14,3,2,2,4,3,5,1,3,66,7,3,1,no sure ,Yes:  It's not my racial identity that I relate to but rather my age group and status as a SENIOR who is now living on a limited income of social security.,Status Threat
100,282,1,1,3,,1,1,1,24,1,1,1,,,,,,0,0,45.851,0,Inform about demographic change,4,4,1,Lower birth rates,2,2,3,1,2,3,17,16,4.644,71.339,72.189,15,1,5,1,3,1,3,1,1,34,3,3,2,Not sure,,Assuaged Threat
100,294,1,2,3,,1,1,1,40,1,1,1,,0,0,95.647,0,,,,,Future population growth in the US relating to what race the population will be,1,4,2,More interracial relationships,2,2,1,2,1,4,18,15,10.466,57.158,58.452,9,3,4,1,2,1,1,1,1,22,3,3,2,That the racial demographics of this country will change a lot in the coming decades,,Status Threat
100,978,1,1,3,,1,1,1,47,6,6,3,,,,,,29.51,165.956,170.209,36,Shed Light on Quickly Changing Population Demographics in U.S.,4,3,1,Immigration ,2,1,2,3,2,2,17,17,17.839,183.158,184.053,51,3,2,4,6,2,6,3,6,70,5,9,2,Change in US demographics where whites are the minority won't change the levels of discrimination.,None.,Assuaged Threat
100,678,1,2,3,,1,1,1,48,1,2,1,,,,,,4.931,12.846,112.844,2,to discuss how white people will become the minority group in the united states much faster than predicted,4,4,1,Hispanic families are having more babies (9 for every 1 death or something) while white people are pretty much breaking even. They also cited the amount of immigration.  ,1,1,2,3,3,2,18,14,5.307,85.064,88.425,10,3,3,2,4,2,3,1,2,43,6,7,2,Do white people feel threatened by the shift in demographics. ,"I said I am uncertain about America's future, but that's not because I'm worried I'll lose anything due to immigration. I'm worried about the current political landscape and whether or not America will still be a democracy after the next election.",Assuaged Threat
100,344,1,1,3,,1,1,1,39,2,2,1,,40.608,40.608,42.144,1,,,,,to tell you that minorities will be the majority faster than expected,4,4,2,lots of births in the Hispanic population,1,2,1,3,3,6,18,13,8.917,44.972,45.94,15,3,3,1,6,1,4,4,2,39,2,5,2,to see how reading the article influenced my opinions,,Status Threat
